company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
"bwx technologies, inc.",BWXT,2023-10-01,2023-12-31,933301000.0,41468.98604816493,2927.53043632809,0.6602552178415872,2.180535187683644,-86.9741912862781,75.19,74.9,74.98,76.57,76.15,76.73
"bwx technologies, inc.",BWXT,2023-07-01,2023-09-30,871911000.0,9.512539816415643,0.657577794470789,0.6860059225615889,2.499881823281668,-0.002880438294054,71.62,70.87,71.57,75.19,74.9,74.98
"bwx technologies, inc.",BWXT,2023-04-01,2023-06-30,3582102000.0,39.0944592810714,0.6395178111882188,-0.30706268102959455,2.4110744955625596,-0.009137056641478422,62.85,62.61,63.04,70.2,70.05,71.38
"bwx technologies, inc.",BWXT,2023-01-01,2023-03-31,3506916000.0,38.32528042384339,0.6676430321266434,-0.2898251798148374,2.4414846197725715,0.009307228678852775,57.93,57.28,58.08,62.99,62.2,62.53
"bwx technologies, inc.",BWXT,2022-10-01,2022-12-31,748355000.0,-90577.94722827403,-5200.314693778746,0.7142526038216239,2.097588756592182,149.37446805594317,50.51,50.32,50.37,57.93,57.28,58.08
"bwx technologies, inc.",BWXT,2022-07-01,2022-09-30,712936000.0,7.799526601721592,0.6739374042632933,0.7331884262991297,2.0887666329889356,-0.010007748263359307,53.3,53.22,55.09,51.13,49.68,50.85
"bwx technologies, inc.",BWXT,2022-04-01,2022-06-30,3409873000.0,37.309245412320976,0.81638076489931,-0.26033783486593903,2.08287429128386,0.012893852249480423,54.71,53.855,53.86,53.3,52.76,53.52
"bwx technologies, inc.",BWXT,2022-01-01,2022-03-31,3229061000.0,35.26577232144154,0.6444700873375465,-0.2568806982348341,1.9391083681639765,0.013725126787844714,48.2,47.98,48.02,54.08,54.0648,54.96
"bwx technologies, inc.",BWXT,2021-10-01,2021-12-31,637235000.0,-910.6687588603833,-167.00536196094572,0.7452466238636273,1.6834350488996226,3.2907185348623433,54.5,53.83,53.86,48.2,47.98,48.02
"bwx technologies, inc.",BWXT,2021-07-01,2021-09-30,578574000.0,6.136941643813063,0.6355085462661921,0.767614178823021,2.0458454522829714,-0.02288587461605768,57.5,57.5,58.12,55.04,54.3,54.38
"bwx technologies, inc.",BWXT,2021-04-01,2021-06-30,3275489000.0,34.350493795119064,0.6223799729624893,-0.27629615313579087,1.150951233903371,0.022166923575553266,66.3,65.78,65.94,58.28,57.6,57.67
"bwx technologies, inc.",BWXT,2021-01-01,2021-03-31,3008220000.0,31.56455747460372,0.7318601429736306,-0.2790518700938895,1.879411451642049,0.003372026188384432,60.0,59.38,60.28,65.65,65.3,66.0
"bwx technologies, inc.",BWXT,2020-10-01,2020-12-31,617768000.0,99656.07356025165,10605.258912727859,0.7306443462249668,1.4603710968102437,56.04949893830718,57.47,56.02,56.31,59.77,59.77,60.16
"bwx technologies, inc.",BWXT,2020-07-01,2020-09-30,550080000.0,5.761025341861106,0.766324871453823,0.7410552300648586,1.8549160765492705,0.010334210090384596,56.19,55.76,56.64,57.62,57.05,57.27
"bwx technologies, inc.",BWXT,2020-04-01,2020-06-30,2452895000.0,25.69616515407061,0.6731573020737819,-0.2442634867348124,1.6624428843566414,-0.02838180741199112,47.3,47.29,48.71,55.65,55.49,56.11
"bwx technologies, inc.",BWXT,2020-01-01,2020-03-31,2396115000.0,25.113258135731297,0.7912916850775431,-0.21840300253787878,2.0021098153037378,0.013010037089884954,62.66,61.82,62.08,46.99,45.535,47.45
"bwx technologies, inc.",BWXT,2019-10-01,2019-12-31,404112000.0,12221.745047633449,1858.4303644336912,0.7883025575288135,1.5560686814476574,-30.645836168385877,57.95,57.08,57.21,62.83,62.63,62.66
"bwx technologies, inc.",BWXT,2019-07-01,2019-09-30,354533000.0,3.715475519936329,0.7840024021640772,0.8058863788175775,1.8620782645172889,-0.003706326067535961,51.64,51.3935,52.1,58.57,57.35,57.84
"bwx technologies, inc.",BWXT,2019-04-01,2019-06-30,2050629000.0,21.50468567638196,0.6174461022710676,-0.16746504372381127,1.8623807832792207,,,,,51.64,51.3935,52.1
"bwx technologies, inc.",BWXT,2019-01-01,2019-03-31,1959660000.0,20.572754790506828,0.5141771450810055,-0.14147016576323432,1.7729739685658152,,,,,,,
"bwx technologies, inc.",BWXT,2018-10-01,2018-12-31,235701000.0,-490.17980808824444,-45.61751579507784,0.8575907379390681,1.4375271632551385,,,,,,,
"bwx technologies, inc.",BWXT,2018-07-01,2018-09-30,392501000.0,3.947866925660829,0.7837275394981571,0.7738663965745312,1.9038242889746948,,,,,,,
"bwx technologies, inc.",BWXT,2018-04-01,2018-06-30,388317000.0,3.8955742876467245,0.6085678015938351,0.7771450215642782,2.8790857490108865,,,,,,,
